start	end	text
871	1692	That was fun.
2432	3833	Let's play another game.
4553	6134	This time you are guessing.
6915	8436	I am thinking about an animal.
11218	13459	Please start asking me questions.
14240	15320	Is it able to swim?
21024	23005	No, it's not known for swimming.
23926	27928	I'd throw you a life jacket, but we're on dry land with this one.
29645	30525	Is it a carnivore?
32266	32926	Hold on.
35647	37147	Yes, it is a carnivore.
37828	38808	Chomp chomp.
39568	41909	You've got some sharp teeth on that one.
43529	44450	Does it have scales?
46250	47331	Just a second.
51872	53573	No, it does not have scales.
54453	57974	Looks like you're fishing for clues in the wrong pond.
60330	61191	Is it a canine?
63072	63712	In a jiffy?
65374	67055	No, it is not a canine.
67875	70277	Maybe try howling up a different tree.
71658	72859	Is it part of the... Let's see.
74060	75321	Is it part of the cat family?
82506	84887	Yes, it is part of the cat family.
85708	88350	Perfect, you're clawing your way to the top.
91195	93196	Is it known to reside in a jungle?
95116	96377	Reflecting on that.
98677	101938	No, it's not typically associated with the jungle.
102759	106620	Looks like the king of the jungle moniker doesn't apply here.
108501	109161	In a jiffy.
111121	113402	No, it doesn't reside in the jungle.
114282	118944	Looks like you're not quite the king of this particular guessing jungle yet.
120151	121331	Does it live in the savannah?
123052	125312	Excuse me, I need to think a bit.
129053	131353	Yes, it does reside in the savannah.
132073	133053	Hot, hot, hot.
133853	136774	Your instincts are on a safari to success.
138414	139414	Does it have a mane?
141115	141715	Let's see.
144975	146496	Yes, it does have a mane.
147276	148176	Looking sharp.
149013	151616	You're nearly the king of this guessing game.
153037	154899	Is it a lion?
157942	160725	You have asked 10 questions and have to guess.
162166	162847	Is it a lion?
165149	166431	Yes, it is a lion.
166471	167792	You guessed correctly.
